id,type,irt_a,irt_b
126,MCQ,1.2,1
162,OPEN,1,-1
159,MCQ,1,-1
198,MCQ,1.1,0.5
179,MCQ,1,-1
182,MCQ,1,-1
323,OPEN,1,-1
319,MCQ,1,-1
140,MCQ,1,-0.5
322,MULTI_MCQ,1,-1
137,MCQ,1,-0.5
183,MCQ,1,-0.5
131,MCQ,1,-1
320,MCQ,1,-1
149,MCQ,1.1,0.5
180,MCQ,1,-1
146,MCQ,1,0
324,MCQ,1,-0.5
138,MCQ,1,-0.5
135,MCQ,1,-1
127,MULTI_MCQ,1.2,1
132,MCQ,1,-1
141,MCQ,1,-0.5
327,MULTI_MCQ,1,-0.5
120,OPEN,1,0
325,MCQ,1,-0.5
165,OPEN,1,-0.5
106,MCQ,1,-1
112,MCQ,1,-0.5
142,MCQ,1,0
139,MCQ,1,-0.5
148,MCQ,1.1,0.5
118,MULTI_MCQ,1,0
145,MCQ,1,0
144,MCQ,1,0
125,OPEN,1.1,0.5
160,MCQ,1,-1
163,MCQ,1,-0.5
181,MCQ,1,-1
117,MCQ,1,0
228,MCQ,1,-1
107,MCQ,1,-1
227,MCQ,1,-1
253,MCQ,1,-1
252,MCQ,1,-1
187,MCQ,1,-0.5
111,MCQ,1,-0.5
328,OPEN,1,-0.5
184,MCQ,1,-0.5
190,MCQ,1,0
193,MCQ,1,0
108,MULTI_MCQ,1,-1
194,MCQ,1.1,0.5
330,MCQ,1,0
167,MCQ,1,0
164,MULTI_MCQ,1,-0.5
152,MCQ,1.1,0.5
116,MCQ,1,0
129,OPEN,1.2,1
331,MULTI_MCQ,1,0
329,MCQ,1,0
185,MCQ,1,-0.5
136,MCQ,1,-0.5
332,MULTI_MCQ,1,0
188,MCQ,1,-0.5
110,OPEN,1,-1
191,MCQ,1,0
154,MCQ,1.2,1
124,OPEN,1.1,0.5
189,MCQ,1,0
176,MULTI_MCQ,1.2,1
201,MCQ,1.2,1
186,MCQ,1,-0.5
113,MULTI_MCQ,1,-0.5
173,OPEN,1.1,0.5
205,MCQ,1,-1
343,OPEN,1.2,1
211,MCQ,1,-0.5
342,OPEN,1.2,1
311,MCQ,1.1,0.5
242,MULTI_MCQ,1.1,0.5
195,MCQ,1.1,0.5
206,MCQ,1,-1
192,MCQ,1,0
153,MCQ,1.1,0.5
241,MULTI_MCQ,1.1,0.5
157,MCQ,1.2,1
243,OPEN,1.1,0.5
121,MCQ,1.1,0.5
196,MCQ,1.1,0.5
199,MCQ,1.1,0.5
232,MULTI_MCQ,1,-0.5
151,MCQ,1.1,0.5
312,MCQ,1.1,0.5
313,MCQ,1.1,0.5
340,MULTI_MCQ,1.2,1
200,MCQ,1.2,1
203,MCQ,1.2,1
158,MCQ,1.2,1
208,MCQ,1,-0.5
155,MCQ,1.2,1
171,MULTI_MCQ,1.1,0.5
168,MULTI_MCQ,1,0
215,MCQ,1,0
161,MULTI_MCQ,1,-1
204,MCQ,1,-1
210,MCQ,1,-0.5
207,MCQ,1,-1
212,MCQ,1,-0.5
169,MULTI_MCQ,1,0
174,OPEN,1.1,0.5
220,MCQ,1.1,0.5
202,MCQ,1.2,1
156,MCQ,1.2,1
115,OPEN,1,-0.5
150,MCQ,1.1,0.5
217,MCQ,1.1,0.5
226,MCQ,1.2,1
326,MULTI_MCQ,1,-0.5
333,OPEN,1,0
214,MCQ,1,0
218,MCQ,1.1,0.5
134,MCQ,1,-1
222,MCQ,1.2,1
130,OPEN,1.2,1
216,MCQ,1,0
304,MCQ,1,0
143,MCQ,1,0
229,MULTI_MCQ,1,-1
235,MCQ,1,0
299,MCQ,1,-0.5
297,MCQ,1,-1
295,MCQ,1,-1
303,MCQ,1,-0.5
305,MCQ,1,0
301,MCQ,1,-0.5
236,MCQ,1,0
300,MCQ,1,-0.5
209,MCQ,1,-0.5
230,OPEN,1,-1
147,MCQ,1,0
133,MCQ,1,-1
255,MCQ,1,-0.5
298,MCQ,1,-1
296,MCQ,1,-1
221,MCQ,1.1,0.5
237,MULTI_MCQ,1,0
246,MULTI_MCQ,1.2,1
231,MCQ,1,-0.5
308,MCQ,1,0
302,MCQ,1,-0.5
306,MCQ,1,0
310,MCQ,1.1,0.5
309,MCQ,1.1,0.5
238,MULTI_MCQ,1,0
307,MCQ,1,0
234,OPEN,1,-0.5
213,MCQ,1,0
248,OPEN,1.2,1
225,MCQ,1.2,1
249,OPEN,1.2,1
272,MCQ,1,-1
314,MCQ,1.2,1
318,MCQ,1.2,1
316,MCQ,1.2,1
247,MULTI_MCQ,1.2,1
245,MCQ,1.2,1
240,MCQ,1.1,0.5
224,MCQ,1.2,1
256,MCQ,1,-0.5
258,MCQ,1,-0.5
260,MCQ,1,0
261,MCQ,1,0
262,MCQ,1,0
263,MCQ,1,0
257,MCQ,1,-0.5
251,MCQ,1,-1
259,MCQ,1,0
250,MCQ,1,-1
271,MCQ,1.2,1
269,MCQ,1.2,1
268,MCQ,1.1,0.5
337,OPEN,1.1,0.5
341,MULTI_MCQ,1.2,1
275,OPEN,1,-1
276,MCQ,1,-0.5
277,MCQ,1,-0.5
282,MCQ,1,0
278,MULTI_MCQ,1,-0.5
281,MCQ,1,0
280,OPEN,1,-0.5
279,MULTI_MCQ,1,-0.5
239,OPEN,1,0
287,MULTI_MCQ,1.1,0.5
288,MULTI_MCQ,1.1,0.5
289,OPEN,1.1,0.5
284,MULTI_MCQ,1,0
315,MCQ,1.2,1
219,MCQ,1.1,0.5
223,MCQ,1.2,1
291,MULTI_MCQ,1.2,1
293,OPEN,1.2,1
290,OPEN,1.1,0.5
254,MCQ,1,-0.5
266,MCQ,1.1,0.5
264,MCQ,1.1,0.5
233,MULTI_MCQ,1,-0.5
283,MULTI_MCQ,1,0
265,MCQ,1.1,0.5
274,MULTI_MCQ,1,-1
273,MULTI_MCQ,1,-1
270,MCQ,1.2,1
285,OPEN,1,0
267,MCQ,1.1,0.5
286,MCQ,1.1,0.5
292,MULTI_MCQ,1.2,1
294,OPEN,1.2,1
170,OPEN,1,0
244,OPEN,1.1,0.5
178,OPEN,1.2,1
197,MCQ,1.1,0.5
166,MCQ,1,0
175,MCQ,1.2,1
177,MULTI_MCQ,1.2,1
172,MULTI_MCQ,1.1,0.5
317,MCQ,1.2,1
122,MULTI_MCQ,1.1,0.5
334,MCQ,1.1,0.5
321,MULTI_MCQ,1,-1
339,MCQ,1.2,1
338,OPEN,1.1,0.5
336,MULTI_MCQ,1.1,0.5
335,MULTI_MCQ,1.1,0.5
